trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
134,False,"{'a': 0.007, 'e': 0.9598000000000044}",35,18,-39.2933830578485,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
135,False,"{'a': 0.007, 'e': 0.9595000000000045}",20,0,-91.77967496482287,"{0: 12, 1: 0, 2: 5, 3: 3, 4: 0}",0
136,False,"{'a': 0.007, 'e': 0.9592000000000045}",25,0,-71.14134937852769,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
137,False,"{'a': 0.007, 'e': 0.9589000000000045}",20,0,-155.7561046553884,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
138,False,"{'a': 0.007, 'e': 0.9586000000000046}",20,0,-91.64695716565028,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
139,False,"{'a': 0.007, 'e': 0.9583000000000046}",30,7,-157.65467172153265,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 3}",1
140,False,"{'a': 0.007, 'e': 0.9580000000000046}",20,0,-86.48050731269093,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
141,False,"{'a': 0.007, 'e': 0.9577000000000047}",30,0,-105.17609811207173,"{0: 20, 1: 5, 2: 3, 3: 0, 4: 2}",0
142,False,"{'a': 0.007, 'e': 0.9574000000000047}",20,0,-95.38915989979364,"{0: 10, 1: 2, 2: 6, 3: 2, 4: 0}",0
143,False,"{'a': 0.007, 'e': 0.9571000000000047}",25,0,-56.21521142631562,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
144,False,"{'a': 0.007, 'e': 0.9568000000000048}",25,0,-113.39506140840878,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
145,False,"{'a': 0.007, 'e': 0.9565000000000048}",20,0,-170.65393474050583,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 4}",0
146,False,"{'a': 0.007, 'e': 0.9562000000000048}",20,0,-153.70947187354525,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
147,False,"{'a': 0.007, 'e': 0.9559000000000049}",30,0,-238.25226690517434,"{0: 16, 1: 3, 2: 6, 3: 1, 4: 4}",0
148,False,"{'a': 0.007, 'e': 0.9556000000000049}",20,0,-81.64343701506445,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 2}",0
149,False,"{'a': 0.007, 'e': 0.9553000000000049}",20,0,-201.71460229749437,"{0: 10, 1: 1, 2: 5, 3: 0, 4: 4}",0
150,False,"{'a': 0.007, 'e': 0.955000000000005}",25,0,-126.91815700723812,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
151,False,"{'a': 0.007, 'e': 0.954700000000005}",25,0,-203.64444080121788,"{0: 15, 1: 0, 2: 6, 3: 0, 4: 4}",0
152,False,"{'a': 0.007, 'e': 0.954400000000005}",25,0,-157.77738861130837,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 3}",0
153,False,"{'a': 0.007, 'e': 0.954100000000005}",35,0,-206.69262206227268,"{0: 24, 1: 3, 2: 2, 3: 2, 4: 4}",0
154,False,"{'a': 0.007, 'e': 0.9538000000000051}",25,0,-185.69099585062037,"{0: 13, 1: 2, 2: 5, 3: 3, 4: 2}",0
155,False,"{'a': 0.007, 'e': 0.9535000000000051}",25,0,-86.9690684834914,"{0: 14, 1: 2, 2: 9, 3: 0, 4: 0}",0
156,False,"{'a': 0.007, 'e': 0.9532000000000052}",25,0,-274.17414490801116,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 5}",0
157,False,"{'a': 0.007, 'e': 0.9529000000000052}",25,0,-44.3108674830295,"{0: 17, 1: 5, 2: 2, 3: 1, 4: 0}",0
158,False,"{'a': 0.007, 'e': 0.9526000000000052}",20,0,-14.026058369896777,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
159,False,"{'a': 0.007, 'e': 0.9523000000000053}",20,0,-114.0700400469743,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
160,False,"{'a': 0.007, 'e': 0.9520000000000053}",20,2,-92.84349985041828,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 1}",1
161,False,"{'a': 0.007, 'e': 0.9517000000000053}",20,0,-157.42385375562898,"{0: 10, 1: 5, 2: 2, 3: 0, 4: 3}",0
162,False,"{'a': 0.007, 'e': 0.9514000000000054}",25,0,-202.86868961882396,"{0: 12, 1: 3, 2: 4, 3: 4, 4: 2}",0
163,False,"{'a': 0.007, 'e': 0.9511000000000054}",20,0,-93.63614404746093,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
164,False,"{'a': 0.007, 'e': 0.9508000000000054}",25,0,-92.1849388046244,"{0: 18, 1: 4, 2: 1, 3: 0, 4: 2}",0
165,False,"{'a': 0.007, 'e': 0.9505000000000055}",25,0,-74.2930367655842,"{0: 15, 1: 4, 2: 5, 3: 1, 4: 0}",0
166,False,"{'a': 0.007, 'e': 0.9502000000000055}",35,0,-319.6478155806664,"{0: 18, 1: 4, 2: 6, 3: 1, 4: 6}",0
167,False,"{'a': 0.007, 'e': 0.9499000000000055}",25,0,-81.16076156853752,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
168,False,"{'a': 0.007, 'e': 0.9496000000000056}",20,0,-66.10676953435768,"{0: 9, 1: 8, 2: 3, 3: 0, 4: 0}",0
169,False,"{'a': 0.007, 'e': 0.9493000000000056}",20,0,-62.782062985668944,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
170,False,"{'a': 0.007, 'e': 0.9490000000000056}",25,0,-74.50723610380685,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
171,False,"{'a': 0.007, 'e': 0.9487000000000056}",25,0,-43.224388872317355,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
172,False,"{'a': 0.007, 'e': 0.9484000000000057}",25,0,-247.3992067901819,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 5}",0
173,False,"{'a': 0.007, 'e': 0.9481000000000057}",20,0,-93.47168023063966,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
174,False,"{'a': 0.007, 'e': 0.9478000000000057}",25,1,-278.84077204239236,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 6}",1
175,False,"{'a': 0.007, 'e': 0.9475000000000058}",30,0,-238.4338113026151,"{0: 18, 1: 0, 2: 6, 3: 2, 4: 4}",0
176,False,"{'a': 0.007, 'e': 0.9472000000000058}",20,7,-48.54609362663981,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 1}",1
177,False,"{'a': 0.007, 'e': 0.9469000000000058}",30,0,-157.44465688957453,"{0: 17, 1: 5, 2: 5, 3: 1, 4: 2}",0
178,False,"{'a': 0.007, 'e': 0.9466000000000059}",20,0,-64.34634175731182,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
179,False,"{'a': 0.007, 'e': 0.9463000000000059}",30,20,-4.246336709836601,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
180,False,"{'a': 0.007, 'e': 0.946000000000006}",30,0,-160.51125278928038,"{0: 18, 1: 3, 2: 6, 3: 1, 4: 2}",0
181,False,"{'a': 0.007, 'e': 0.945700000000006}",20,0,-26.671000459981197,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
182,False,"{'a': 0.007, 'e': 0.945400000000006}",25,0,-142.14532709107522,"{0: 12, 1: 3, 2: 8, 3: 1, 4: 1}",0
